t,Ref_pos,L_Cmd,R_Cmd,L_tau,R_tau,L_IMU_angle,R_IMU_angle,L_IMU_vel,R_IMU_vel,L_encoder,R_encoder,L_encoder_vel,R_encoder_vel
4.668465852737427,0.0,-0.5291078576271758,-0.011248806491494179,-0.1279885172843933,-0.01464392558051486,3.046872256661814,-0.030610013033727828,-1.7137055618136006,-0.01464392558051486,3.046872256661814,-0.030610013033727828,-1.7137055618136006,2.068057995609032
4.678469657897949,0.0,-0.36459388748268784,-0.014040516689419746,-0.25355592370033264,-0.01464392558051486,3.0322215008921347,-0.03759941097844667,-1.606189419654314,-0.01464392558051486,3.0322215008921347,-0.03759941097844667,-1.606189419654314,2.006520601287134
4.688493013381958,0.0,-0.20898467121115455,-0.017484575510025024,-0.3433955907821655,-0.01464392558051486,3.0029268195419547,-0.0912375335308981,-1.6904780094370913,-0.01464392558051486,3.0029268195419547,-0.0912375335308981,-1.6904780094370913,1.944783439888258
4.698474884033203,0.0,-0.08569949361165285,-0.01556376926600933,-0.38141706585884094,-0.01464392558051486,2.9003851895325425,-0.06865057152323534,-2.203251259724625,-0.01464392558051486,2.9003851895325425,-0.06865057152323534,-2.203251259724625,1.8832251363802803
4.708462238311768,0.0,-0.03306024923427997,-0.01702469028532505,-0.38054585456848145,-0.01464392558051486,2.7539049525924497,-0.11170772386523871,-3.2464806931740324,-0.01464392558051486,2.7539049525924497,-0.11170772386523871,-3.2464806931740324,1.8215588774960283
4.71846866607666,0.0,-0.06978854242330629,-0.018714003264904022,-0.34595999121665955,-0.01464392558051486,2.5927739598826776,-0.09730115402849593,-4.428237888935523,-0.01464392558051486,2.5927739598826776,-0.09730115402849593,-4.428237888935523,1.7597029163049616
4.728465795516968,0.0,-0.1630967421948014,-0.024067455902695656,-0.28440821170806885,0.0,2.4462868927534203,-0.07227531422914275,-5.580037448110515,0.0,2.4462868927534203,-0.07227531422914275,-5.580037448110515,1.697834970623067
4.738469362258911,0.0,-0.2380505521835567,-0.03031091019511223,-0.23701106011867523,-0.01464392558051486,2.2998066558133274,-0.07635190996722223,-6.583533536723842,-0.01464392558051486,2.2998066558133274,-0.07635190996722223,-6.583533536723842,1.6358601339089751
4.748467206954956,0.0,-0.23205387560342758,-0.020184922963380814,-0.19265131652355194,-0.01464392558051486,2.15331958868407,-0.06915427796420394,-7.407625315276676,-0.01464392558051486,2.15331958868407,-0.06915427796420394,-7.407625315276676,1.5738561747757795
4.758466482162476,0.0,-0.10375568063522661,-0.016626853495836258,-0.17202842235565186,-0.01464392558051486,1.992188595974298,-0.09304617295920277,-8.143885556858201,-0.01464392558051486,1.992188595974298,-0.09304617295920277,-8.143885556858201,1.511781224412978
4.7684667110443115,0.0,0.11893611049343833,-0.01947897858917713,-0.1851125806570053,-0.01464392558051486,1.8457015288450265,-0.09617564023889831,-8.84674019698284,-0.01464392558051486,1.8457015288450265,-0.09617564023889831,-8.84674019698284,1.4496406713501355
4.778476715087891,0.0,0.40570607199833886,-0.021259475499391556,-0.19557392597198486,-0.01464392558051486,1.669919780365575,-0.09260561241752373,-9.577836815551834,-0.01464392558051486,1.669919780365575,-0.09260561241752373,-9.577836815551834,1.3873820611885115
4.788466215133667,0.0,0.6605174310945764,-0.02305605076253414,-0.17679348587989807,-0.01464392558051486,1.508788787655817,-0.08924443897436342,-10.342018016686724,-0.01464392558051486,1.508788787655817,-0.08924443897436342,-10.342018016686724,1.3251962642095694
4.798470735549927,0.0,0.817636839763493,-0.02303415536880493,-0.12102462351322174,-0.01464392558051486,1.3476577949460449,-0.09331813988617357,-10.946465852570759,-0.01464392558051486,1.3476577949460449,-0.09331813988617357,-10.946465852570759,1.2628646404322978
4.808467626571655,0.0,0.8468078076003418,-0.020874498412013054,-0.010111287236213684,-0.01464392558051486,1.186519972047094,-0.08715164633430904,-11.381352534761932,-0.01464392558051486,1.186519972047094,-0.08715164633430904,-11.381352534761932,1.2005307060462316
